Date,Open,High,Low,Close,Adj_Close,Volume,Duration
3/10/1999,51.125,51.15625,50.28125,51.0625,44.386864,5232000,1
3/11/1999,51.4375,51.734375,50.3125,51.3125,44.604156,9688600,1
3/12/1999,51.125,51.15625,49.65625,50.0625,43.517586,8743600,1
3/15/1999,50.4375,51.5625,49.90625,51.5,44.767155,6369000,1
3/16/1999,51.71875,52.15625,51.15625,51.9375,45.147457,4905800,1
3/17/1999,51.9375,52,51.40625,51.5625,44.821491,3965000,1
3/18/1999,51.5,52.59375,51.484375,52.5625,45.690742,4848400,1
3/19/1999,53.25,53.25,51.1875,51.21875,44.522667,7160400,1
3/22/1999,51.4375,51.5625,50.5,50.59375,43.979385,5024800,1
3/23/1999,50.3125,50.5,48.71875,48.8125,42.431015,10962400,1
3/24/1999,49.25,50.5,48.5,50.46875,43.870728,8447000,1
3/25/1999,51.25,52.3125,50.914063,52.3125,45.473427,8133800,1
3/26/1999,51.875,52.46875,51.53125,51.75,44.984455,8256200,1
3/29/1999,52.375,53.65625,52.0625,53.625,46.614334,5113800,1
3/30/1999,53.5625,54,53.03125,53.25,46.288372,4940600,1
3/31/1999,54.125,54.1875,52.3125,52.46875,45.609249,8256600,1
4/1/1999,54,54.0625,52.6875,53.5625,46.560024,8715800,1
4/5/1999,54.429688,55.578125,54.09375,55.5,48.244225,5697200,1
4/6/1999,55.4375,56.21875,54.96875,55.609375,48.339291,7522400,1
4/7/1999,56.125,56.25,53.84375,55.03125,47.836739,11923600,1
4/8/1999,54.9375,55.734375,53.8125,55.46875,48.21706,7952400,1
4/9/1999,55.375,55.9375,55.21875,55.8125,48.515865,4946800,1
4/12/1999,54.5,55.8125,54.4375,55.4375,48.189877,10934000,1
4/13/1999,55.78125,55.90625,54.25,54.6875,47.537922,9962200,1
4/14/1999,55.375,55.4375,52.507813,52.8125,45.908058,21253800,1
4/15/1999,53,53.617188,51.125,53.53125,46.532833,17650600,1
4/16/1999,53.40625,53.40625,51.6875,51.96875,45.174622,17274000,1
4/19/1999,52.3125,52.75,49.007813,49.53125,43.055779,19460600,1
4/20/1999,49.3125,51.0625,48.84375,50.65625,44.033707,17413600,1
4/21/1999,51.125,53.1875,50.4375,53.15625,46.206879,10940400,1
4/22/1999,53.65625,54.75,53.304688,54.59375,47.45644,13630600,1
4/23/1999,54.3125,55.71875,53.75,55.3125,48.081223,7064400,1
4/26/1999,55.6875,57,55.507813,56.585938,49.18819,5421000,1
4/27/1999,57,57.28125,55.007813,55.71875,48.434368,16482800,1
4/28/1999,55.25,55.4375,53.570313,53.8125,46.777325,7676800,1
4/29/1999,53.5625,53.875,52.25,53.375,46.397026,19148200,1
4/30/1999,54.125,54.40625,51.8125,53.71875,46.695843,15295200,1
5/3/1999,53.5625,53.78125,52.539063,53.4375,46.451355,11109800,1
5/4/1999,53.53125,54.375,52.28125,52.59375,45.717922,15428400,1
5/5/1999,52.625,54.1875,51.03125,54.1875,47.103298,12642600,1
5/6/1999,53.6875,54.15625,51.71875,52.21875,45.391953,15173400,1
5/7/1999,52.6875,53.125,51.5625,52.96875,46.04388,16430400,1
5/10/1999,53.3125,53.859375,52.6875,53.5,46.50568,10604200,1
5/11/1999,53.9375,54.625,53.625,54.34375,47.239128,8800800,1
5/12/1999,54.59375,55.65625,53,55.46875,48.21706,12507400,1
